Negative offset of 08-1489 (time: 6:26, m?: false) (scrape: 73, official: 67): -6
Negative offset of 08-1853 (time: 49:57, m?: false) (scrape: 143, official: 94): -49
Positive offset of 08-1347 (time: 5:06, m?: false) (scrape: 67, official: 77): 10
Positive offset of 08-3177 (time: 4:28, m?: false) (scrape: 78, official: 100): 22
Positive offset of 08-2102 (time: 5:52, m?: false) (scrape: 45, official: 94): 49
Positive offset of 08-0714 (time: 5:37, m?: false) (scrape: 47, official: 57): 10
Negative offset of 08-1187 (time: 5:59, m?: false) (scrape: 88, official: 63): -25
Positive offset of 08-2985 (time: 5:11, m?: false) (scrape: 63, official: 88): 25
Negative offset of 08-0852 (time: 5:48, m?: true) (scrape: 85, official: 65): -20
Division: ms
Average negative changes: 25 (total negative delta teams: 4).
Average positive changes: 23 (total positive delta teams: 5).
Scores that were reduced with multiple instances flag: 1.
Scores that were reduced with time flag: 2.
Scores that were increased with multiple instances flag: 0.
Scores that were increased with time flag: 0.
Positive offset of 08-1561 (time: 5:27, m?: false) (scrape: 120, official: 128): 8
Positive offset of 08-0078 (time: 6:10, m?: false) (scrape: 110, official: 118): 8
Positive offset of 08-3146 (time: 4:33, m?: false) (scrape: 148, official: 156): 8
Positive offset of 08-1604 (time: 5:45, m?: false) (scrape: 66, official: 74): 8
Positive offset of 08-3484 (time: 6:36, m?: false) (scrape: 118, official: 131): 13
Positive offset of 08-1155 (time: 57:42, m?: false) (scrape: 136, official: 144): 8
Positive offset of 08-2370 (time: 6:17, m?: false) (scrape: 30, official: 38): 8
Positive offset of 08-1603 (time: 5:42, m?: false) (scrape: 83, official: 91): 8
Positive offset of 08-0697 (time: 5:53, m?: false) (scrape: 163, official: 171): 8
Positive offset of 08-3485 (time: 6:16, m?: false) (scrape: 107, official: 115): 8
Positive offset of 08-1722 (time: 5:07, m?: false) (scrape: 105, official: 113): 8
Positive offset of 08-1592 (time: 5:53, m?: false) (scrape: 136, official: 144): 8
Positive offset of 08-3245 (time: 4:56, m?: false) (scrape: 86, official: 94): 8
Positive offset of 08-1483 (time: 4:39, m?: false) (scrape: 114, official: 127): 13
Negative offset of 08-2214 (time: 6:07, m?: false) (scrape: 160, official: 142): -18
Positive offset of 08-0051 (time: 29:29, m?: false) (scrape: 116, official: 124): 8
Positive offset of 08-0797 (time: 5:47, m?: false) (scrape: 93, official: 98): 5
Positive offset of 08-2101 (time: 6:29, m?: false) (scrape: 134, official: 142): 8
Positive offset of 08-1201 (time: 5:39, m?: false) (scrape: 165, official: 173): 8
Positive offset of 08-2881 (time: 11:43, m?: false) (scrape: 131, official: 139): 8
Positive offset of 08-1488 (time: 6:10, m?: false) (scrape: 117, official: 125): 8
Positive offset of 08-1627 (time: 6:07, m?: false) (scrape: 52, official: 60): 8
Positive offset of 08-1583 (time: 5:17, m?: false) (scrape: 148, official: 156): 8
Positive offset of 08-1280 (time: 3:41, m?: false) (scrape: 60, official: 68): 8
