team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-1561,ajrotc,5:27,120,128,false,false,8
08-0078,ajrotc,6:10,110,118,false,true,8
08-3146,ajrotc,4:33,148,156,false,false,8
08-1604,njrotc,5:45,66,74,false,false,8
08-3484,ajrotc,6:36,118,131,false,true,13
08-1155,cap,57:42,136,144,false,true,8
08-2370,afjrotc,6:17,30,38,false,true,8
08-1603,njrotc,5:42,83,91,false,false,8
08-0697,njrotc,5:53,163,171,false,false,8
08-3485,ajrotc,6:16,107,115,false,true,8
08-1722,njrotc,5:07,105,113,false,false,8
08-1592,njrotc,5:53,136,144,false,false,8
08-3245,afjrotc,4:56,86,94,false,false,8
08-1483,afjrotc,4:39,114,127,false,false,13
08-2214,ajrotc,6:07,160,142,false,true,-18
08-0051,cap,29:29,116,124,false,true,8
08-0797,mcjrotc,5:47,93,98,false,false,5
08-2101,afjrotc,6:29,134,142,false,true,8
08-1201,ajrotc,5:39,165,173,false,false,8
08-2881,njrotc,11:43,131,139,false,true,8
08-1488,afjrotc,6:10,117,125,false,true,8
08-1627,afjrotc,6:07,52,60,false,true,8
08-1583,ajrotc,5:17,148,156,false,false,8
08-1280,afjrotc,3:41,60,68,false,false,8
08-1157,afjrotc,6:26,85,93,false,true,8
08-0170,mcjrotc,5:40,103,111,false,false,8
08-1200,ajrotc,5:33,133,141,false,false,8
08-2224,ajrotc,4:46,104,112,false,false,8
08-1487,afjrotc,6:06,129,137,false,true,8
08-2879,njrotc,4:44,85,93,false,false,8
08-1281,afjrotc,6:02,123,131,false,true,8
08-2711,ajrotc,6:10,84,92,false,true,8
08-1425,afjrotc,5:52,150,158,false,false,8
08-1329,cap,6:18,149,157,false,true,8
08-1856,njrotc,5:43,55,43,true,false,-12
08-1946,afjrotc,5:46,149,157,false,false,8
08-0868,afjrotc,6:01,106,114,false,true,8
08-1767,afjrotc,6:02,104,112,false,true,8
08-1162,mcjrotc,5:46,158,166,false,false,8
08-0795,mcjrotc,4:58,96,104,false,false,8
08-2056,afjrotc,6:07,98,106,false,true,8
08-2496,afjrotc,3:40,26,34,false,false,8
08-1785,njrotc,6:00,90,98,false,false,8
08-0549,mcjrotc,6:16,116,124,false,true,8
08-2781,afjrotc,6:00,95,103,false,false,8
08-1598,afjrotc,6:05,77,85,false,true,8
08-1816,afjrotc,6:03,164,172,false,true,8
08-3169,ajrotc,6:11,88,96,false,true,8
08-0857,afjrotc,5:40,133,141,false,false,8
08-0288,afjrotc,5:58,118,126,false,false,8
08-0548,mcjrotc,6:03,124,132,false,true,8
08-0419,ajrotc,5:32,85,93,false,false,8
08-2570,mcjrotc,4:37,99,107,false,false,8
08-3478,afjrotc,5:36,52,60,false,false,8
08-0915,ajrotc,5:58,145,153,false,false,8
08-1865,njrotc,5:49,136,144,false,false,8
08-0540,njrotc,5:52,156,164,false,false,8
08-2077,mcjrotc,5:37,96,104,false,false,8
08-1508,ajrotc,6:04,109,117,false,true,8
08-2597,ajrotc,5:45,88,96,false,false,8
08-2459,ajrotc,6:10,118,106,false,true,-12
08-2870,ajrotc,5:28,77,85,false,false,8
08-1279,ajrotc,5:51,178,186,false,false,8
08-3121,ajrotc,5:40,54,62,false,false,8
08-2567,ajrotc,6:02,138,146,false,true,8
08-1735,ajrotc,6:06,100,128,false,true,28
08-2116,afjrotc,6:03,63,71,false,true,8
08-0744,njrotc,5:28,94,102,false,false,8
08-0914,ajrotc,5:53,152,160,false,false,8
08-1877,afjrotc,5:58,92,100,false,false,8
08-1736,ajrotc,6:06,125,133,false,true,8
08-1844,afjrotc,5:54,122,130,false,false,8
08-1758,afjrotc,5:30,153,161,false,false,8
08-0347,afjrotc,5:39,119,127,false,false,8
08-1843,afjrotc,5:59,129,137,false,false,8
08-3496,njrotc,5:10,66,74,false,false,8
08-3492,njrotc,5:10,69,77,false,false,8
08-1882,ajrotc,5:40,157,165,false,false,8
08-1778,ajrotc,6:05,140,148,false,true,8
08-1566,ajrotc,5:47,111,119,false,false,8
08-0308,afjrotc,5:55,166,174,false,false,8
08-2278,afjrotc,5:50,77,85,false,false,8
08-1365,ajrotc,0:22,22,30,false,false,8
08-2667,njrotc,5:46,109,117,false,false,8
08-2277,afjrotc,5:55,77,85,false,false,8
08-0124,ajrotc,4:04,148,156,false,false,8
08-2638,njrotc,5:54,150,158,false,false,8
08-0463,ajrotc,5:57,126,134,false,false,8
08-2925,njrotc,5:45,83,91,false,false,8
08-0096,mcjrotc,5:59,172,180,false,false,8
08-1731,ajrotc,5:32,109,117,false,false,8
08-2946,njrotc,4:01,82,90,false,false,8
08-0098,mcjrotc,5:54,156,164,false,false,8
08-2596,ajrotc,5:44,140,148,false,false,8
08-0689,mcjrotc,3:59,146,154,false,false,8
08-0819,afjrotc,5:40,149,157,true,false,8
08-0818,afjrotc,5:46,160,168,false,false,8
08-1254,njrotc,5:58,161,169,false,false,8
08-0024,afjrotc,6:08,156,164,false,true,8
08-0990,afjrotc,5:49,130,138,false,false,8
08-1791,afjrotc,5:52,168,176,false,false,8
08-0471,njrotc,4:13,105,118,true,false,13
08-2747,afjrotc,4:40,76,84,false,false,8
08-0338,ajrotc,5:38,174,182,false,false,8
08-0337,ajrotc,5:49,181,189,false,false,8
08-2211,njrotc,6:01,40,48,false,true,8
08-2198,afjrotc,5:41,68,76,false,false,8
08-2271,ajrotc,5:57,159,167,false,false,8
08-0336,ajrotc,5:45,181,189,false,false,8
08-1630,mcjrotc,7:14,92,100,false,true,8
08-0339,ajrotc,5:15,137,145,false,false,8
08-0358,afjrotc,5:49,171,179,false,false,8
08-1849,afjrotc,5:46,171,179,false,false,8
08-0110,njrotc,5:54,140,148,false,false,8
08-3459,mcjrotc,5:04,119,127,false,false,8
08-0107,njrotc,5:59,153,161,false,false,8
08-0108,njrotc,5:59,154,162,false,false,8
08-3314,ajrotc,4:39,74,82,false,false,8
08-0038,ajrotc,5:44,153,161,false,false,8
08-1780,afjrotc,5:50,112,120,false,false,8
08-1394,afjrotc,5:50,164,172,false,false,8
08-1205,afjrotc,5:41,169,177,false,false,8
08-1395,afjrotc,5:46,148,156,false,false,8
08-1397,afjrotc,5:32,158,171,false,false,13
08-2053,afjrotc,5:30,120,128,false,false,8
08-2589,mcjrotc,5:28,151,159,false,false,8
08-1396,afjrotc,5:30,143,151,false,false,8
08-1247,njrotc,5:48,101,109,false,false,8
08-2602,afjrotc,6:05,66,74,false,true,8
08-1572,njrotc,5:58,168,176,false,false,8
08-2420,njrotc,5:57,129,137,false,false,8
08-2419,njrotc,5:57,142,150,false,false,8
08-2414,njrotc,6:00,145,153,false,false,8
08-1575,njrotc,5:57,122,130,false,false,8
08-0034,ajrotc,1:28,134,175,false,false,41
08-3071,njrotc,4:17,28,36,false,false,8
08-2033,njrotc,4:15,34,42,false,false,8
08-0879,njrotc,8:25,138,146,false,true,8
08-2017,ajrotc,5:05,119,127,false,false,8
08-1524,mcjrotc,5:49,108,116,false,false,8
08-2904,ajrotc,5:52,106,114,false,false,8
08-0197,cap,19:02,42,8,false,true,-34
08-0188,cap,5:47,126,134,false,false,8
08-2696,ajrotc,5:53,129,137,false,false,8
08-0029,mcjrotc,5:40,76,84,false,false,8
08-0782,njrotc,2:01,76,84,false,false,8
08-2216,njrotc,5:28,103,111,false,false,8
08-2840,afjrotc,5:03,124,132,false,false,8
08-0420,ajrotc,2:40,97,105,false,false,8
08-2219,njrotc,4:51,123,131,false,false,8
08-1880,afjrotc,5:18,92,50,false,false,-42
08-2440,afjrotc,5:28,84,92,false,false,8
08-2565,ajrotc,5:52,162,170,false,false,8
08-1965,mcjrotc,4:28,78,86,false,false,8
08-0264,njrotc,4:44,145,153,false,false,8
08-1213,njrotc,5:55,142,150,false,false,8
08-0533,njrotc,4:59,112,125,false,false,13
08-1544,njrotc,5:34,97,105,false,false,8
08-1545,njrotc,5:35,137,145,false,false,8
08-1546,njrotc,5:36,130,118,true,false,-12
08-0445,mcjrotc,5:58,149,187,false,false,38
08-1793,mcjrotc,5:49,92,157,false,false,65
08-3138,cap,2:31,56,64,false,false,8
08-0794,afjrotc,6:02,163,171,false,true,8
08-1613,afjrotc,5:57,146,154,false,false,8
08-1742,mcjrotc,5:56,147,155,false,false,8
08-2070,mcjrotc,5:56,144,152,false,false,8
08-2000,njrotc,5:25,119,127,false,false,8
08-2002,njrotc,5:29,119,127,false,false,8
08-1003,ajrotc,5:55,140,148,false,false,8
08-2117,afjrotc,5:25,135,143,false,false,8
08-2170,afjrotc,4:58,125,133,false,false,8
08-0500,afjrotc,5:39,155,163,false,false,8
08-0287,mcjrotc,6:00,24,32,false,false,8
08-3122,ajrotc,6:07,155,163,false,true,8
08-0442,njrotc,5:00,171,179,false,false,8
08-2761,afjrotc,5:32,102,110,false,false,8
08-0524,cap,5:57,134,142,false,false,8
08-3421,afjrotc,5:39,128,136,false,false,8
08-1823,mcjrotc,4:15,153,161,false,false,8
08-2754,cap,4:37,111,119,false,false,8
08-1750,afjrotc,4:54,98,106,false,false,8
08-0441,njrotc,5:42,177,185,false,false,8
08-2558,afjrotc,5:48,52,60,false,false,8
08-1198,cap,5:51,103,111,false,false,8
08-2284,njrotc,4:16,90,103,false,false,13
08-0528,afjrotc,4:46,148,156,false,false,8
08-1430,ajrotc,2:27,92,100,false,false,8
08-1845,njrotc,4:13,109,117,false,false,8
08-0219,cap,6:03,155,163,false,true,8
08-2177,afjrotc,4:37,98,106,false,false,8
