team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-1343,MD,5:40,175,183,false,false,8
08-2093,NJ,5:49,166,174,false,false,8
08-0477,MD,5:54,175,183,false,false,8
08-1505,FL,6:20,162,170,false,true,8
08-2253,FL,6:03,169,177,false,true,8
08-2087,NJ,5:43,167,175,false,false,8
08-1928,MD,4:22,152,160,false,false,8
08-1674,MD,4:53,100,108,false,false,8
08-1387,MD,5:31,135,143,false,false,8
08-2386,VA,6:02,148,169,false,true,21
08-1459,OH,5:51,178,186,false,false,8
08-2484,MD,6:12,153,161,false,true,8
08-1480,OH,5:52,151,159,false,false,8
08-3147,FL,4:37,177,185,false,false,8
08-2574,PA,5:58,182,190,false,false,8
08-2485,MD,6:16,148,156,false,true,8
08-1787,NJ,5:43,121,129,false,false,8
08-2388,VA,5:51,138,146,false,false,8
08-2230,PA,5:53,115,123,false,false,8
08-3475,RI,4:49,146,154,false,false,8
08-2645,PA,6:11,181,189,false,true,8
08-1452,VA,5:55,192,163,false,false,-29
08-2646,PA,5:59,175,183,false,false,8
08-1450,VA,5:58,186,194,false,false,8
08-0240,RI,4:49,151,159,false,false,8
08-2644,PA,6:14,156,164,false,true,8
08-2649,PA,5:57,142,150,false,false,8
08-2653,PA,6:02,186,194,false,true,8
08-0242,RI,4:47,122,130,false,false,8
08-2641,PA,6:04,165,173,false,true,8
08-2650,PA,6:00,180,188,false,false,8
08-0667,MD,5:45,148,156,false,false,8
08-1454,VA,5:53,164,163,false,false,-1
08-2573,PA,5:58,178,186,false,false,8
08-2480,NC,5:43,151,159,false,false,8
08-1453,VA,5:52,150,177,false,false,27
08-1675,MD,4:55,113,121,false,false,8
08-2571,PA,5:54,163,171,false,false,8
08-2752,RI,4:43,118,126,false,false,8
08-2090,NJ,5:36,154,162,false,false,8
08-2643,PA,6:07,174,173,false,true,-1
08-1451,VA,5:25,155,200,false,false,45
08-2091,NJ,5:48,166,174,false,false,8
08-1958,PA,5:03,122,130,false,false,8
08-1719,NC,6:19,160,168,false,true,8
08-2088,PA,36:59,168,176,false,true,8
08-2651,PA,5:51,181,189,false,false,8
08-2572,PA,5:49,116,124,false,false,8
08-0213,IN,5:50,130,138,false,false,8
08-2089,PA,5:37,126,134,false,false,8
08-0629,VA,5:54,163,171,false,false,8
08-0406,VA,5:58,176,184,false,false,8
08-1224,AR,5:43,165,173,false,false,8
08-0214,IN,5:48,128,136,false,false,8
08-2753,RI,4:36,102,110,false,false,8
08-0208,IN,5:45,137,145,false,false,8
08-3194,MD,4:35,128,136,true,false,8
08-3231,OH,5:49,83,91,false,false,8
08-3190,MD,4:32,98,111,true,false,13
08-1665,MD,11:10,112,120,false,true,8
08-1563,PA,5:40,149,157,false,false,8
08-3241,OH,5:14,114,122,false,false,8
08-1595,OK,5:57,170,178,false,false,8
08-3235,OH,5:16,71,79,false,false,8
08-0572,VT,6:07,186,194,false,true,8
08-1344,KS,5:57,164,172,false,false,8
08-2266,FL,6:01,156,164,false,true,8
08-3315,IA,4:53,171,179,false,false,8
08-0859,PA,5:38,82,90,false,false,8
08-2999,FL,5:36,152,160,false,false,8
08-2267,FL,6:02,152,160,false,true,8
