2018-07-31 00:30:30 startup archives install
2018-07-31 00:30:30 install base-passwd:amd64 <none> 3.5.39
2018-07-31 00:30:30 status half-installed base-passwd:amd64 3.5.39
2018-07-31 00:30:30 status unpacked base-passwd:amd64 3.5.39
2018-07-31 00:30:30 status unpacked base-passwd:amd64 3.5.39
2018-07-31 00:30:30 configure base-passwd:amd64 3.5.39 3.5.39
2018-07-31 00:30:30 status unpacked base-passwd:amd64 3.5.39
2018-07-31 00:30:30 status half-configured base-passwd:amd64 3.5.39
2018-07-31 00:30:30 status installed base-passwd:amd64 3.5.39
2018-07-31 00:30:30 startup archives install
2018-07-31 00:30:31 install base-files:amd64 <none> 9.4ubuntu4
2018-07-31 00:30:31 status half-installed base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status half-configured base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 status installed base-files:amd64 9.4ubuntu4
2018-07-31 00:30:31 startup archives install
2018-07-31 00:30:31 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:30:31 status half-configured dpkg 1.18.4ubuntu1
2018-07-31 00:30:31 status unpacked dpkg 1.18.4ubuntu1
2018-07-31 00:30:31 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:30:32 status half-installed dpkg 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 status installed dpkg:amd64 1.18.4ubuntu1
2018-07-31 00:30:32 startup archives install
2018-07-31 00:30:32 install libc6:amd64 <none> 2.23-0ubuntu3
2018-07-31 00:30:32 status half-installed libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2018-07-31 00:30:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 status half-configured libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:33 status installed libc6:amd64 2.23-0ubuntu3
2018-07-31 00:30:34 startup archives install
2018-07-31 00:30:34 install perl-base:amd64 <none> 5.22.1-9
2018-07-31 00:30:34 status half-installed perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 configure perl-base:amd64 5.22.1-9 5.22.1-9
2018-07-31 00:30:35 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 status half-configured perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 status installed perl-base:amd64 5.22.1-9
2018-07-31 00:30:35 startup archives install
2018-07-31 00:30:35 install mawk:amd64 <none> 1.3.3-17ubuntu2
2018-07-31 00:30:35 status half-installed mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2018-07-31 00:30:35 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 status half-configured mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 status installed mawk:amd64 1.3.3-17ubuntu2
2018-07-31 00:30:35 startup archives install
2018-07-31 00:30:35 install debconf:all <none> 1.5.58ubuntu1
2018-07-31 00:30:35 status half-installed debconf:all 1.5.58ubuntu1
